code,port,locality,state,country
FRN,,Fernandina,Florida,Unites States
FTL,,Fort Lauderdale,Florida,Unites States
FMY,,Fort Myers,Florida,Unites States
FPF,,Fort Pierce,Florida,Unites States
HUR,,Hurlburt Field,Florida,Unites States
GNV,J R Alison Muni - Gainesville Airport,Gainesville,Florida,Unites States
JAC,,Jacksonville,Florida,Unites States
KEY,,Key West,Florida,Unites States
LEE,Leesburg Muncipal Airport,Leesburg,Florida,Unites States
MLB,,Melbourne,Florida,Unites States
MIA,,Miami,Florida,Unites States
APF,,Naples,Florida,Unites States
OPF,,Opa Locka,Florida,Unites States
ORL,,Orlando,Florida,Unites States
PAN,,Panama City,Florida,Unites States
PEN,,Pensacola,Florida,Unites States
PCF,,Port Canaveral,Florida,Unites States
PEV,,Port Everglades,Florida,Unites States
PSJ,,Port St Joe,Florida,Unites States
SFB,,Sanford,Florida,Unites States
SGJ,Saint Augustine Airport,Saint Augustine,Florida,Unites States
SAU,,Saint Augustine,Florida,Unites States
FPR,St Lucie County International Airport,Fort Pierce,Florida,Unites States
SPE,,St Petersburg,Florida,Unites States
TAM,,Tampa,Florida,Unites States
WPB,,West Palm Beach,Florida,Unites States
ATL,,Atlanta,Georgia,Unites States
BRU,,Brunswick,Georgia,Unites States
AGS,Bush Field - Augusta Airport,Augusta,Georgia,Unites States
SAV,,Savannah,Georgia,Unites States
AGA,,Agana,Guam,Unites States
HHW,,Honolulu,Hawaii,Unites States
OGG,,Kahului,Hawaii,Unites States
KOA,,Keahole-kona,Hawaii,Unites States
LIH,,Lihue,Hawaii,Unites States
CID,Cedar Rapids - Iowa City Airport,Cedar Rapids,Iowa,Unites States
DSM,,Des Moines,Iowa,Unites States
BOI,Gowen Field/Boise Air Terminal,Boise,Idaho,Unites States
EPI,,Eastport,Idaho,Unites States
IDA,Fanning Field/Idaho Falls Airport,Idaho Falls,Idaho,Unites States
PTL,,Porthill,Idaho,Unites States
SPI,Capital/Springfield Airport,Springfield,Illinois,Unites States
CHI,,Chicago,Illinois,Unites States
DPA,DUPAGE COUNTY,Chicago/west Chicago,Illinois,Unites States
